Table with row headings in column A and column headings in row 2.,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
SMITH,1.0,2376206.0,880.85,880.85,73.35,22.22,0.4,0.85,1.63,1.56
JOHNSON,2.0,1857160.0,688.44,1569.3,61.55,33.8,0.42,0.91,1.82,1.5
WILLIAMS,3.0,1534042.0,568.66,2137.96,48.52,46.72,0.37,0.78,2.01,1.6
BROWN,4.0,1380145.0,511.62,2649.58,60.71,34.54,0.41,0.83,1.86,1.64
JONES,5.0,1362755.0,505.17,3154.75,57.69,37.73,0.35,0.94,1.85,1.44
MILLER,6.0,1127803.0,418.07,3572.82,85.81,10.41,0.42,0.63,1.31,1.43
DAVIS,7.0,1072335.0,397.51,3970.33,64.73,30.77,0.4,0.79,1.73,1.58
GARCIA,8.0,858289.0,318.17,4288.5,6.17,0.49,1.43,0.58,0.51,90.81
RODRIGUEZ,9.0,804240.0,298.13,4586.62,5.52,0.54,0.58,0.24,0.41,92.7
WILSON,10.0,783051.0,290.27,4876.9,69.72,25.32,0.46,1.03,1.74,1.73
MARTINEZ,11.0,775072.0,287.32,5164.22,6.04,0.52,0.6,0.64,0.46,91.72
ANDERSON,12.0,762394.0,282.62,5446.83,77.6,18.06,0.48,0.7,1.59,1.58
TAYLOR,13.0,720370.0,267.04,5713.87,67.8,27.67,0.39,0.75,1.78,1.61
THOMAS,14.0,710696.0,263.45,5977.33,55.53,38.17,1.63,1.01,2.0,1.66
HERNANDEZ,15.0,706372.0,261.85,6239.18,4.55,0.38,0.65,0.27,0.35,93.81
MOORE,16.0,698671.0,259.0,6498.17,68.85,26.92,0.37,0.65,1.7,1.5
MARTIN,17.0,672711.0,249.37,6747.54,77.47,15.3,0.71,0.94,1.59,3.99
JACKSON,18.0,666125.0,246.93,6994.47,41.93,53.02,0.31,1.04,2.18,1.53
THOMPSON,19.0,644368.0,238.87,7233.34,72.48,22.53,0.44,1.15,1.78,1.62
WHITE,20.0,639515.0,237.07,7470.4,67.91,27.38,0.39,1.01,1.76,1.55
LOPEZ,21.0,621536.0,230.4,7700.81,5.85,0.61,1.04,0.47,0.52,91.51
LEE,22.0,605860.0,224.59,7925.4,40.09,17.41,37.83,1.03,2.3,1.34
GONZALEZ,23.0,597718.0,221.57,8146.97,4.76,0.37,0.38,0.18,0.33,93.99
HARRIS,24.0,593542.0,220.02,8366.99,53.88,41.63,0.36,0.65,2.02,1.45
CLARK,25.0,548369.0,203.28,8570.27,76.84,18.53,0.41,0.94,1.6,1.68
LEWIS,26.0,509930.0,189.03,8759.3,60.97,33.83,0.45,1.14,1.97,1.64
ROBINSON,27.0,503028.0,186.47,8945.77,51.34,44.1,0.37,0.51,1.99,1.68
WALKER,28.0,501307.0,185.83,9131.61,61.25,34.17,0.35,0.83,1.8,1.6
PEREZ,29.0,488521.0,181.09,9312.7,5.95,0.48,1.18,0.26,0.48,91.65
HALL,30.0,473568.0,175.55,9488.25,75.11,20.75,0.48,0.63,1.63,1.4
YOUNG,31.0,465948.0,172.73,9660.97,68.91,23.79,2.95,0.73,1.93,1.69
ALLEN,32.0,463368.0,171.77,9832.74,70.24,25.14,0.41,0.83,1.77,1.62
SANCHEZ,33.0,441242.0,163.57,9996.31,5.77,0.5,1.01,0.49,0.45,91.78
WRIGHT,34.0,440367.0,163.24,10159.55,68.3,27.36,0.4,0.66,1.75,1.52
KING,35.0,438986.0,162.73,10322.28,72.8,22.02,0.88,0.97,1.71,1.62
SCOTT,36.0,420091.0,155.73,10478.01,62.6,32.26,0.41,1.15,1.9,1.68
GREEN,37.0,413477.0,153.27,10631.29,59.33,36.23,0.34,0.61,1.78,1.71
BAKER,38.0,413351.0,153.23,10784.51,82.08,13.63,0.45,0.83,1.54,1.47
ADAMS,39.0,413086.0,153.13,10937.64,76.17,19.2,0.45,0.79,1.63,1.76
NELSON,40.0,412236.0,152.81,11090.46,80.29,14.93,0.51,1.09,1.49,1.68
HILL,41.0,411770.0,152.64,11243.1,66.83,28.42,0.42,0.91,1.78,1.64
RAMIREZ,42.0,388987.0,144.2,11387.3,4.4,0.29,0.97,0.27,0.4,93.67
CAMPBELL,43.0,371953.0,137.88,11525.18,76.47,19.13,0.43,0.65,1.67,1.65
MITCHELL,44.0,367433.0,136.21,11661.38,63.55,31.52,0.39,0.98,1.93,1.63
ROBERTS,45.0,366215.0,135.75,11797.14,79.56,15.86,0.47,0.85,1.67,1.58
CARTER,46.0,362548.0,134.4,11931.53,60.51,34.99,0.39,0.71,1.88,1.52
PHILLIPS,47.0,351848.0,130.43,12061.96,78.95,16.36,0.45,0.99,1.68,1.58
EVANS,48.0,342237.0,126.87,12188.83,70.65,25.05,0.4,0.68,1.67,1.55
TURNER,49.0,335663.0,124.43,12313.26,66.67,29.31,0.33,0.56,1.72,1.4
TORRES,50.0,325169.0,120.54,12433.8,6.05,0.58,1.42,0.26,0.53,91.16
PARKER,51.0,324246.0,120.2,12554.0,71.49,24.09,0.44,0.85,1.67,1.46
COLLINS,52.0,317848.0,117.83,12671.82,73.92,21.7,0.37,0.75,1.65,1.61
EDWARDS,53.0,317070.0,117.54,12789.36,65.16,30.21,0.4,0.75,1.84,1.63
STEWART,54.0,312899.0,115.99,12905.35,71.78,23.83,0.38,0.74,1.69,1.59
FLORES,55.0,312615.0,115.89,13021.23,5.57,0.47,2.15,0.43,0.54,90.84
MORRIS,56.0,311754.0,115.57,13136.8,75.92,19.29,0.43,0.93,1.7,1.73
NGUYEN,57.0,310125.0,114.96,13251.76,1.26,0.18,95.93,0.04,2.01,0.58
MURPHY,58.0,300501.0,111.39,13363.16,85.05,11.03,0.43,0.65,1.29,1.54
RIVERA,59.0,299463.0,111.01,13474.17,5.92,1.06,2.06,0.24,0.55,90.17
COOK,60.0,294795.0,109.28,13583.45,83.52,12.27,0.44,0.86,1.48,1.42
ROGERS,61.0,294403.0,109.13,13692.58,77.8,17.66,0.42,0.77,1.58,1.77
MORGAN,62.0,276400.0,102.46,13795.04,78.47,16.47,0.42,1.15,1.64,1.86
PETERSON,63.0,275041.0,101.96,13897.0,86.29,9.58,0.52,0.7,1.33,1.56
COOPER,64.0,270097.0,100.12,13997.12,70.36,25.26,0.4,0.76,1.69,1.54
REED,65.0,267443.0,99.14,14096.26,73.51,21.97,0.4,1.0,1.67,1.45
BAILEY,66.0,265916.0,98.57,14194.84,74.77,21.14,0.4,0.61,1.63,1.45
BELL,67.0,264752.0,98.14,14292.98,63.57,31.78,0.41,0.9,1.8,1.55
GOMEZ,68.0,263590.0,97.71,14390.69,6.1,0.81,1.04,0.34,0.54,91.16
KELLY,69.0,260385.0,96.52,14487.22,80.39,15.48,0.49,0.55,1.35,1.73
HOWARD,70.0,254779.0,94.45,14581.66,66.83,28.69,0.38,0.82,1.74,1.55
WARD,71.0,254121.0,94.2,14675.86,77.79,17.77,0.4,0.83,1.57,1.64
COX,72.0,253771.0,94.07,14769.94,84.48,11.55,0.39,0.64,1.42,1.52
DIAZ,73.0,251772.0,93.33,14863.27,6.17,0.73,1.19,0.22,0.47,91.22
RICHARDSON,74.0,249533.0,92.5,14955.77,62.25,32.77,0.36,1.05,1.82,1.75
WOOD,75.0,247299.0,91.67,15047.44,90.06,5.61,0.51,0.82,1.4,1.6
WATSON,76.0,242432.0,89.87,15137.31,68.58,26.85,0.47,0.8,1.72,1.58
BROOKS,77.0,240751.0,89.25,15226.56,62.72,32.67,0.41,0.75,1.83,1.62
BENNETT,78.0,239055.0,88.62,15315.17,79.0,16.51,0.41,0.89,1.54,1.65
GRAY,79.0,236713.0,87.75,15402.92,71.13,24.36,0.44,0.84,1.66,1.57
JAMES,80.0,233224.0,86.46,15489.38,54.45,38.09,0.81,2.51,2.1,2.04
REYES,81.0,232511.0,86.19,15575.57,5.26,0.75,6.02,0.3,0.76,86.9
CRUZ,82.0,231065.0,85.66,15661.22,5.95,0.83,5.61,0.38,0.99,86.24
HUGHES,83.0,229390.0,85.03,15746.26,80.6,15.45,0.39,0.52,1.46,1.58
PRICE,84.0,228756.0,84.8,15831.06,76.11,19.79,0.42,0.64,1.58,1.46
MYERS,85.0,224824.0,83.34,15914.4,86.59,9.75,0.38,0.53,1.35,1.4
LONG,86.0,223494.0,82.85,15997.25,82.35,11.75,1.78,1.21,1.44,1.47
FOSTER,87.0,221040.0,81.94,16079.19,72.0,23.19,0.46,0.86,1.78,1.7
SANDERS,88.0,220902.0,81.89,16161.07,63.44,31.9,0.33,0.85,1.73,1.76
ROSS,89.0,219961.0,81.54,16242.61,71.46,23.67,0.46,0.89,1.69,1.82
MORALES,90.0,217642.0,80.68,16323.29,5.6,0.6,1.24,0.25,0.44,91.88
POWELL,91.0,216553.0,80.28,16403.57,69.96,25.97,0.38,0.56,1.71,1.41
SULLIVAN,92.0,215640.0,79.94,16483.5,89.45,6.78,0.46,0.52,1.16,1.63
RUSSELL,93.0,215432.0,79.86,16563.36,79.45,15.79,0.43,1.0,1.7,1.63
ORTIZ,94.0,214683.0,79.58,16642.95,5.4,0.64,0.68,0.48,0.45,92.35
JENKINS,95.0,213737.0,79.23,16722.18,60.12,35.97,0.33,0.55,1.69,1.34
GUTIERREZ,96.0,212905.0,78.92,16801.1,5.21,0.25,1.4,0.33,0.42,92.39
PERRY,97.0,212644.0,78.83,16879.93,70.71,24.37,0.46,0.82,1.86,1.78
BUTLER,98.0,210879.0,78.17,16958.1,64.75,30.85,0.35,0.81,1.75,1.5
BARNES,99.0,210426.0,78.0,17036.1,67.45,28.23,0.4,0.72,1.71,1.49
FISHER,100.0,210279.0,77.95,17114.05,84.59,11.28,0.42,0.71,1.42,1.58
HENDERSON,101.0,210094.0,77.88,17191.94,62.18,33.2,0.38,0.82,1.81,1.61
COLEMAN,102.0,208624.0,77.34,17269.27,52.04,43.83,0.33,0.5,1.87,1.44
SIMMONS,103.0,201650.0,74.75,17344.02,60.55,35.26,0.35,0.61,1.74,1.5
PATTERSON,104.0,198557.0,73.6,17417.63,70.09,25.66,0.37,0.61,1.67,1.61
JORDAN,105.0,197212.0,73.11,17490.73,64.3,30.06,0.44,0.68,1.67,2.86
REYNOLDS,106.0,195598.0,72.51,17563.24,83.28,12.5,0.42,0.61,1.55,1.65
HAMILTON,107.0,194331.0,72.04,17635.28,72.79,22.65,0.44,0.78,1.73,1.61
GRAHAM,108.0,194074.0,71.94,17707.22,72.84,22.72,0.42,0.77,1.61,1.64
KIM,109.0,194067.0,71.94,17779.16,2.6,0.36,94.52,0.03,1.99,0.5
GONZALES,110.0,193934.0,71.89,17851.05,10.0,0.86,3.1,0.76,0.84,84.44
ALEXANDER,111.0,193443.0,71.71,17922.76,60.91,33.22,0.91,0.7,2.05,2.21
RAMOS,112.0,193096.0,71.58,17994.34,7.2,0.92,5.04,0.25,1.18,85.42
WALLACE,113.0,190760.0,70.71,18065.06,71.76,23.73,0.43,0.73,1.72,1.64
GRIFFIN,114.0,190636.0,70.67,18135.72,66.46,29.77,0.34,0.5,1.56,1.36
WEST,115.0,188464.0,69.86,18205.59,77.69,17.8,0.39,0.81,1.64,1.66
COLE,116.0,187793.0,69.61,18275.2,77.59,18.2,0.43,0.68,1.61,1.48
HAYES,117.0,187473.0,69.5,18344.7,71.64,24.05,0.38,0.73,1.71,1.48
CHAVEZ,118.0,185865.0,68.9,18413.6,5.65,0.21,0.59,1.15,0.43,91.98
GIBSON,119.0,184420.0,68.36,18481.96,74.57,21.07,0.36,0.85,1.65,1.49
BRYANT,120.0,183761.0,68.12,18550.08,60.97,34.68,0.3,0.89,1.79,1.37
ELLIS,121.0,181934.0,67.44,18617.52,72.82,22.6,0.44,0.66,1.64,1.83
STEVENS,122.0,181417.0,67.25,18684.77,83.4,11.4,0.53,1.23,1.64,1.79
MURRAY,123.0,178414.0,66.14,18750.91,77.59,18.13,0.48,0.6,1.54,1.66
FORD,124.0,178397.0,66.13,18817.04,64.28,31.4,0.37,0.61,1.84,1.51
MARSHALL,125.0,177213.0,65.69,18882.73,68.89,26.35,0.42,0.88,1.82,1.64
OWENS,126.0,176334.0,65.37,18948.1,68.09,27.86,0.31,0.71,1.69,1.35
MCDONALD,127.0,176094.0,65.28,19013.38,79.19,16.26,0.43,0.76,1.51,1.85
HARRISON,128.0,175577.0,65.09,19078.46,71.0,23.76,0.42,1.35,1.69,1.78
RUIZ,129.0,175429.0,65.03,19143.49,6.12,0.48,1.01,0.28,0.41,91.7
KENNEDY,130.0,171636.0,63.62,19207.12,82.97,12.98,0.46,0.62,1.4,1.57
WELLS,131.0,170635.0,63.25,19270.37,76.31,19.34,0.37,0.8,1.61,1.56
ALVAREZ,132.0,168817.0,62.58,19332.95,6.61,0.64,1.15,0.47,0.47,90.66
WOODS,133.0,168814.0,62.58,19395.53,60.68,34.66,0.35,0.84,1.92,1.55
MENDOZA,134.0,168567.0,62.49,19458.02,4.93,0.38,5.2,0.29,0.64,88.57
CASTILLO,135.0,165473.0,61.34,19519.36,5.62,0.77,3.26,0.75,0.75,88.85
OLSON,136.0,163502.0,60.61,19579.97,96.03,0.36,0.54,0.64,1.04,1.38
WEBB,137.0,163481.0,60.6,19640.57,77.74,18.36,0.38,0.62,1.5,1.41
WASHINGTON,138.0,163036.0,60.44,19701.01,5.16,89.87,0.25,0.64,2.64,1.45
TUCKER,139.0,162933.0,60.4,19761.41,72.06,23.57,0.33,0.74,1.72,1.59
FREEMAN,140.0,162686.0,60.31,19821.71,67.96,27.47,0.37,0.95,1.76,1.49
BURNS,141.0,162153.0,60.11,19881.82,82.18,13.63,0.45,0.71,1.45,1.59
HENRY,142.0,161392.0,59.83,19941.65,65.06,28.76,0.57,1.71,2.0,1.9
VASQUEZ,143.0,159989.0,59.31,20000.96,5.49,0.5,0.69,0.37,0.49,92.46
SNYDER,144.0,159363.0,59.08,20060.03,95.37,1.28,0.46,0.51,1.11,1.28
SIMPSON,145.0,158241.0,58.66,20118.69,73.29,22.13,0.44,0.78,1.68,1.69
CRAWFORD,146.0,158121.0,58.61,20177.31,71.31,24.47,0.4,0.69,1.69,1.45
JIMENEZ,147.0,157475.0,58.38,20235.68,4.46,0.31,1.53,0.27,0.45,92.98
PORTER,148.0,156848.0,58.14,20293.83,71.19,24.44,0.42,0.75,1.62,1.58
MASON,149.0,155484.0,57.64,20351.47,70.99,24.48,0.42,0.73,1.7,1.68
SHAW,150.0,155172.0,57.52,20408.99,74.67,20.23,1.24,0.73,1.65,1.48
GORDON,151.0,154934.0,57.43,20466.42,67.75,27.22,0.45,0.69,1.89,2.0
WAGNER,152.0,154516.0,57.28,20523.7,93.97,2.5,0.43,0.49,1.0,1.6
HUNTER,153.0,154410.0,57.24,20580.94,62.92,32.3,0.4,0.97,1.87,1.54
ROMERO,154.0,153772.0,57.0,20637.94,10.44,0.46,1.34,0.95,0.66,86.13
HICKS,155.0,153618.0,56.95,20694.89,69.46,26.14,0.37,0.94,1.68,1.42
DIXON,156.0,152015.0,56.35,20751.24,57.05,38.21,0.38,0.89,1.84,1.62
HUNT,157.0,151986.0,56.34,20807.58,76.03,16.33,0.48,3.93,1.68,1.55
PALMER,158.0,150407.0,55.76,20863.33,77.87,17.31,0.45,0.83,1.62,1.93
ROBERTSON,159.0,150299.0,55.72,20919.05,75.35,20.24,0.41,0.87,1.55,1.58
BLACK,160.0,150186.0,55.67,20974.72,76.65,18.56,0.42,1.35,1.49,1.53
HOLMES,161.0,150166.0,55.67,21030.39,59.22,36.52,0.31,0.73,1.72,1.5
STONE,162.0,149802.0,55.53,21085.92,87.4,7.9,0.55,0.93,1.58,1.64
MEYER,163.0,149664.0,55.48,21141.4,96.07,0.45,0.57,0.24,1.13,1.55
BOYD,164.0,149476.0,55.41,21196.81,65.64,29.94,0.41,0.97,1.66,1.38
MILLS,165.0,147909.0,54.83,21251.64,79.7,16.09,0.4,0.79,1.5,1.52
WARREN,166.0,147906.0,54.83,21306.47,72.5,23.09,0.43,0.8,1.72,1.47
FOX,167.0,147357.0,54.62,21361.09,89.82,5.68,0.55,1.03,1.39,1.54
ROSE,168.0,146924.0,54.46,21415.56,84.23,10.86,0.52,0.61,1.83,1.95
RICE,169.0,146440.0,54.28,21469.84,79.65,16.26,0.4,0.65,1.51,1.52
MORENO,170.0,146088.0,54.15,21524.0,7.05,0.37,0.64,0.48,0.49,90.97
SCHMIDT,171.0,145565.0,53.96,21577.96,96.48,0.28,0.46,0.33,0.87,1.57
PATEL,172.0,145066.0,53.78,21631.73,1.55,0.26,91.37,0.41,5.84,0.57
FERGUSON,173.0,142256.0,52.73,21684.47,77.54,18.05,0.44,0.6,1.66,1.71
NICHOLS,174.0,141936.0,52.62,21737.08,84.29,11.36,0.41,0.69,1.57,1.69
HERRERA,175.0,140786.0,52.19,21789.27,5.6,0.37,1.01,0.68,0.41,91.93
MEDINA,176.0,139353.0,51.66,21840.93,6.39,0.53,1.95,0.39,0.64,90.1
RYAN,177.0,139335.0,51.65,21892.58,93.33,2.82,0.64,0.42,1.17,1.62
FERNANDEZ,178.0,139302.0,51.64,21944.22,11.35,1.28,5.17,0.22,1.29,80.7
WEAVER,179.0,138811.0,51.46,21995.68,85.71,10.02,0.4,1.07,1.4,1.41
DANIELS,180.0,138776.0,51.44,22047.12,57.17,37.83,0.44,0.86,1.92,1.78
STEPHENS,181.0,138742.0,51.43,22098.55,76.54,19.22,0.37,0.64,1.61,1.63
GARDNER,182.0,138660.0,51.4,22149.95,77.23,18.67,0.44,0.67,1.51,1.47
PAYNE,183.0,138028.0,51.17,22201.12,73.69,22.03,0.35,0.54,1.75,1.64
KELLEY,184.0,137555.0,50.99,22252.11,85.81,10.21,0.47,0.62,1.52,1.38
DUNN,185.0,136955.0,50.77,22302.88,82.35,13.48,0.63,0.54,1.48,1.53
PIERCE,186.0,136517.0,50.61,22353.48,82.72,12.63,0.4,1.01,1.61,1.64
ARNOLD,187.0,136315.0,50.53,22404.02,83.35,12.63,0.43,0.55,1.48,1.56
TRAN,188.0,136095.0,50.45,22454.47,1.56,0.16,95.61,0.07,1.98,0.62
SPENCER,189.0,134443.0,49.84,22504.3,71.71,22.55,0.69,1.33,1.97,1.75
PETERS,190.0,134231.0,49.76,22554.06,85.16,9.45,0.78,1.34,1.54,1.73
HAWKINS,191.0,134066.0,49.7,22603.76,63.6,32.07,0.37,0.65,1.72,1.58
GRANT,192.0,134034.0,49.69,22653.45,58.25,36.58,0.41,1.07,1.89,1.81
HANSEN,193.0,133474.0,49.48,22702.93,95.64,0.4,0.6,0.49,1.24,1.62
CASTRO,194.0,133254.0,49.4,22752.32,8.72,0.66,3.83,0.3,0.97,85.52
HOFFMAN,195.0,132645.0,49.17,22801.49,95.45,1.11,0.44,0.53,1.04,1.43
HART,196.0,132466.0,49.1,22850.6,82.71,12.92,0.46,0.73,1.48,1.7
ELLIOTT,197.0,132457.0,49.1,22899.7,83.87,12.16,0.42,0.62,1.48,1.45
CUNNINGHAM,198.0,131896.0,48.89,22948.59,75.56,20.4,0.41,0.47,1.53,1.63
KNIGHT,199.0,131860.0,48.88,22997.47,74.79,20.78,0.4,0.74,1.67,1.63
BRADLEY,200.0,131289.0,48.67,23046.14,71.21,24.39,0.4,0.82,1.62,1.56
CARROLL,201.0,131020.0,48.57,23094.71,85.05,11.0,0.44,0.63,1.39,1.5
HUDSON,202.0,130793.0,48.48,23143.19,69.35,26.22,0.39,0.9,1.66,1.49
DUNCAN,203.0,130419.0,48.35,23191.54,78.88,16.48,0.39,0.94,1.65,1.66
ARMSTRONG,204.0,129982.0,48.18,23239.72,74.96,20.3,0.47,0.86,1.64,1.76
BERRY,205.0,129405.0,47.97,23287.69,73.27,22.26,0.44,0.68,1.75,1.6
ANDREWS,206.0,129320.0,47.94,23335.63,74.23,20.84,0.59,0.92,1.78,1.65
JOHNSTON,207.0,128935.0,47.8,23383.43,93.13,2.45,0.52,0.74,1.41,1.74
RAY,208.0,128794.0,47.74,23431.17,77.59,17.07,1.25,0.8,1.64,1.66
LANE,209.0,128727.0,47.72,23478.89,79.36,16.22,0.5,0.85,1.52,1.54
RILEY,210.0,127960.0,47.43,23526.33,75.08,20.52,0.39,0.81,1.51,1.68
CARPENTER,211.0,127073.0,47.11,23573.43,88.07,8.13,0.45,0.6,1.32,1.43
PERKINS,212.0,126951.0,47.06,23620.49,71.52,23.95,0.43,0.71,1.76,1.63
AGUILAR,213.0,126399.0,46.86,23667.35,4.7,0.22,1.74,0.66,0.49,92.19
SILVA,214.0,126164.0,46.77,23714.12,33.68,1.19,1.82,0.41,4.75,58.15
RICHARDS,215.0,125653.0,46.58,23760.7,81.74,13.28,0.53,0.94,1.62,1.89
WILLIS,216.0,125627.0,46.57,23807.26,64.74,30.38,0.46,1.16,1.77,1.49
MATTHEWS,217.0,124839.0,46.28,23853.54,66.21,29.45,0.49,0.54,1.79,1.53
CHAPMAN,218.0,124614.0,46.19,23899.74,81.57,14.11,0.42,0.79,1.53,1.58
LAWRENCE,219.0,124321.0,46.09,23945.82,71.93,23.12,0.58,0.91,1.81,1.65
GARZA,220.0,124130.0,46.01,23991.84,6.59,0.19,0.15,0.29,0.31,92.47
VARGAS,221.0,123952.0,45.95,24037.78,6.2,0.44,0.84,0.23,0.51,91.78
WATKINS,222.0,122447.0,45.39,24083.18,64.54,31.38,0.33,0.62,1.78,1.35
WHEELER,223.0,121684.0,45.11,24128.28,82.79,12.84,0.41,0.91,1.45,1.61
LARSON,224.0,121064.0,44.88,24173.16,96.13,0.39,0.55,0.62,1.03,1.27
CARLSON,225.0,120124.0,44.53,24217.69,96.22,0.4,0.54,0.5,1.03,1.32
HARPER,226.0,119868.0,44.43,24262.13,70.12,25.64,0.36,0.6,1.77,1.5
GEORGE,227.0,119778.0,44.4,24306.53,71.44,17.37,4.67,2.22,2.07,2.24
GREENE,228.0,119604.0,44.34,24350.86,70.34,25.52,0.39,0.72,1.73,1.3
BURKE,229.0,119175.0,44.18,24395.04,87.74,8.4,0.48,0.49,1.31,1.57
GUZMAN,230.0,118390.0,43.89,24438.93,4.73,0.49,1.44,0.21,0.45,92.69
MORRISON,231.0,117939.0,43.72,24482.65,81.68,13.8,0.5,0.93,1.6,1.5
MUNOZ,232.0,117774.0,43.66,24526.31,5.52,0.3,0.88,0.29,0.41,92.61
JACOBS,233.0,115540.0,42.83,24569.14,76.65,15.86,0.48,3.66,1.63,1.72
OBRIEN,234.0,115385.0,42.77,24611.91,95.31,1.13,0.53,0.33,1.18,1.52
LAWSON,235.0,115186.0,42.7,24654.61,76.3,19.71,0.33,0.6,1.67,1.39
FRANKLIN,236.0,114859.0,42.58,24697.19,57.22,37.78,0.45,0.87,1.96,1.71
LYNCH,237.0,114448.0,42.43,24739.61,84.22,11.23,0.43,0.98,1.46,1.68
BISHOP,238.0,114034.0,42.27,24781.88,86.38,9.71,0.46,0.51,1.41,1.53
CARR,239.0,113892.0,42.22,24824.1,75.79,20.07,0.36,0.56,1.6,1.63
SALAZAR,240.0,113468.0,42.06,24866.17,6.14,0.28,1.59,0.58,0.52,90.89
AUSTIN,241.0,113160.0,41.95,24908.11,69.57,25.5,0.5,0.81,1.79,1.82
MENDEZ,242.0,112736.0,41.79,24949.91,5.27,0.81,0.47,0.35,0.51,92.6
GILBERT,243.0,112406.0,41.67,24991.57,80.31,14.98,0.42,0.69,1.49,2.11
JENSEN,244.0,112332.0,41.64,25033.21,95.44,0.36,0.58,0.79,1.18,1.65
